"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 14:27:45 UTC 2023","Tue Jan 10 14:27:46 UTC 2023","801","","My Login application","","My Login application","Check buttons for double click","Check buttons for double click",""
"passed","Tue Jan 10 14:27:25 UTC 2023","Tue Jan 10 14:27:27 UTC 2023","2705","","My Login application","","My Login application","Text box","Text box",""
"passed","Tue Jan 10 14:27:29 UTC 2023","Tue Jan 10 14:27:30 UTC 2023","772","","My Login application","","My Login application","Check radio button yes","Check radio button yes",""
"passed","Tue Jan 10 14:27:31 UTC 2023","Tue Jan 10 14:27:32 UTC 2023","1427","","My Login application","","My Login application","Check web tables","Check web tables",""
"passed","Tue Jan 10 14:27:28 UTC 2023","Tue Jan 10 14:27:29 UTC 2023","1030","","My Login application","","My Login application","Check box tree","Check box tree",""
"passed","Tue Jan 10 14:27:46 UTC 2023","Tue Jan 10 14:27:46 UTC 2023","677","","My Login application","","My Login application","Check buttons for right click","Check buttons for right click",""
"passed","Tue Jan 10 14:27:46 UTC 2023","Tue Jan 10 14:27:47 UTC 2023","1184","","My Login application","","My Login application","Check links","Check links",""
"failed","Tue Jan 10 14:27:32 UTC 2023","Tue Jan 10 14:27:45 UTC 2023","12396","","My Login application","","My Login application","Check web tables for search and delete user","Check web tables for search and delete user",""
"passed","Tue Jan 10 14:27:30 UTC 2023","Tue Jan 10 14:27:31 UTC 2023","748","","My Login application","","My Login application","Check radio button impressive","Check radio button impressive",""
"passed","Tue Jan 10 14:27:27 UTC 2023","Tue Jan 10 14:27:28 UTC 2023","1027","","My Login application","","My Login application","Check box","Check box",""
